# SYNTHETIC DATA — NER-SHIELD Disruption Dataset
# Generated by: backend/ai/disruption/generate_dataset.py
# Seed: 42 | Samples: 1000
# This file contains synthetically generated data only.
# Replace with real data by dropping a real CSV at this path.
rainfall_mm,flood_level,landslide_indicator,road_condition,traffic_level,historical_incidents,terrain_risk,bridge_condition,incident_severity,connectivity_score,disruption
270.9,0,1,2,2,3,0,2,1,0.018,0
153.6,0,0,1,1,2,1,0,1,0.778,0
300.5,0,2,0,3,5,0,1,0,0.162,0
244.1,0,1,2,0,7,1,2,0,0.599,0
33.0,1,0,0,1,2,2,1,1,0.681,0
341.5,0,1,2,0,8,1,0,1,0.279,1
266.4,3,0,1,1,7,0,2,3,0.569,1
275.1,0,0,0,0,1,1,0,2,0.24,0
44.8,1,0,0,0,10,2,1,1,0.946,0
157.6,0,1,2,2,0,1,1,1,0.86,0
129.8,1,0,0,1,7,0,1,1,0.288,0
324.4,1,0,2,0,4,1,0,1,0.529,1
225.4,0,0,2,3,7,1,0,0,0.501,0
288.0,3,0,2,0,8,1,1,1,0.96,1
155.2,0,0,0,2,7,0,0,1,0.394,0
79.5,0,0,2,1,7,2,0,1,0.562,0
194.1,1,0,3,1,9,0,1,2,0.929,1
22.3,2,0,0,1,7,0,1,1,0.163,0
289.7,0,0,1,0,8,0,0,0,0.55,0
221.1,0,0,0,2,4,1,0,0,0.106,0
265.3,2,1,1,0,2,1,2,0,0.617,1
124.1,1,0,2,0,2,0,0,0,0.366,0
339.7,3,0,1,1,6,1,0,0,0.968,0
312.6,1,0,1,3,5,2,0,0,0.415,0
272.4,1,0,1,2,0,1,0,0,0.136,0
68.1,0,0,0,3,2,2,2,0,0.834,0
163.4,3,1,0,2,10,1,0,2,0.821,1
15.3,0,0,2,2,7,0,0,2,0.695,0
54.0,1,0,1,1,8,2,1,0,0.749,0
239.1,0,0,1,3,2,2,0,0,0.265,0
260.7,1,0,2,1,0,1,0,0,0.642,0
338.6,1,0,0,1,3,2,2,0,0.038,0
114.0,1,0,0,2,9,1,1,0,0.197,0
129.7,3,0,0,1,5,1,0,0,0.932,0
164.3,0,0,3,0,8,2,0,0,0.739,0
66.3,1,1,2,1,5,2,0,3,0.231,1
45.5,0,2,1,1,5,1,0,1,0.111,0
166.5,0,0,0,3,6,1,1,2,0.949,0
79.4,0,0,0,1,10,1,1,0,0.112,0
234.4,0,1,1,3,4,0,1,0,0.257,0
153.0,0,0,1,1,6,2,2,3,0.183,0
291.4,1,1,3,2,10,1,0,0,0.007,1
245.1,1,0,2,0,4,1,2,1,0.314,1
109.3,1,2,1,3,9,1,1,3,0.974,1
291.3,0,2,2,1,5,1,0,1,0.342,1
281.7,0,0,3,1,9,1,1,0,0.504,0
135.6,0,0,1,0,5,2,0,1,0.746,0
100.9,2,0,1,1,6,1,1,0,0.551,0
238.9,2,0,3,1,3,2,1,0,0.744,1
48.9,0,0,0,2,6,1,0,0,0.662,0
70.0,1,2,2,3,3,1,2,2,0.609,1
2.6,0,0,0,2,6,0,0,1,0.65,0
275.4,0,0,1,1,8,1,1,0,0.799,0
232.7,0,1,2,1,4,0,0,0,0.71,0
246.8,0,0,1,3,4,2,0,1,0.792,0
273.3,1,0,1,3,3,2,0,3,0.146,0
160.6,3,2,1,1,8,1,2,0,0.678,1
199.1,0,0,0,4,6,1,0,0,0.737,0
48.9,1,0,0,1,5,2,2,2,0.3,0
40.1,1,0,0,3,0,0,0,2,0.875,0
233.9,3,2,1,4,1,2,0,3,0.305,1
164.9,1,0,1,2,0,1,0,0,0.244,0
197.8,0,0,0,0,9,0,0,0,0.867,0
267.7,1,0,2,2,9,0,2,0,0.247,0
222.2,0,0,1,0,0,2,0,0,0.416,0
193.8,3,2,1,2,0,0,1,2,0.368,1
195.7,0,0,1,1,8,2,1,0,0.898,0
106.4,1,2,0,2,5,0,1,1,0.455,0
10.8,0,0,2,3,3,0,1,3,0.694,0
152.9,0,0,1,0,6,2,2,3,0.794,0
75.1,2,1,0,1,2,0,1,1,0.628,0
143.0,1,0,3,2,2,0,1,3,0.944,0
298.7,0,0,2,1,4,1,1,0,0.803,0
81.9,3,1,2,0,9,2,1,0,0.4,1
20.4,2,0,2,0,8,1,0,0,0.951,0
98.5,0,0,3,1,2,0,1,3,0.525,0
102.8,1,2,1,2,6,2,0,3,0.023,1
231.7,0,0,1,2,9,2,1,0,0.26,0
195.0,1,0,1,0,10,2,2,0,0.622,0
274.4,0,0,0,1,8,2,2,0,0.157,0
232.5,0,0,0,1,1,2,1,0,0.584,0
142.2,3,0,0,1,2,1,1,2,0.362,0
284.9,3,1,2,2,2,1,1,0,0.534,1
58.4,2,0,2,1,1,2,0,2,0.002,0
7.9,3,1,2,1,1,2,0,1,0.848,1
31.5,1,0,1,3,3,2,0,0,0.362,0
252.8,2,0,0,1,6,1,0,0,0.14,0
161.7,2,0,1,2,4,1,2,3,0.438,1
56.4,0,1,1,0,4,1,2,1,0.486,0
175.4,0,0,3,0,2,1,1,0,0.637,0
53.3,0,0,2,0,1,1,0,0,0.525,0
243.7,1,1,3,2,10,2,1,3,0.044,1
156.2,0,0,2,3,6,1,0,2,0.872,0
133.4,0,0,3,0,2,0,1,2,0.457,0
105.5,1,2,1,0,8,1,2,1,0.077,1
220.6,0,0,0,1,9,1,0,2,0.773,0
126.6,0,0,0,2,10,2,0,0,0.66,0
30.7,2,0,1,2,1,1,0,1,0.649,0
41.3,2,0,0,2,7,1,0,0,0.427,0
336.7,0,0,0,3,10,1,0,1,0.41,0
318.0,0,1,3,1,8,1,0,3,0.536,1
244.9,0,0,0,2,2,0,0,3,0.051,0
93.1,2,1,3,2,9,2,0,1,0.299,1
339.2,2,2,2,1,4,2,0,1,0.988,1
272.6,0,0,1,3,5,1,1,2,0.662,0
250.9,2,1,2,0,6,1,0,3,0.419,1
157.3,0,1,1,2,8,0,2,2,0.222,0
95.3,0,2,1,2,1,1,0,0,0.745,0
33.7,3,0,0,3,5,1,0,0,0.26,0
315.9,0,0,3,1,8,2,0,2,0.162,1
159.5,0,0,1,1,6,0,1,2,0.155,0
70.8,0,0,0,3,3,2,0,1,0.729,0
107.1,1,0,2,2,0,1,1,1,0.643,0
202.7,3,0,2,1,6,2,0,0,0.07,1
61.9,3,0,1,2,7,1,2,0,0.115,0
299.8,0,2,1,1,6,0,0,2,0.634,1
265.5,0,0,0,2,10,1,0,0,0.571,1
251.8,2,0,2,3,6,2,2,1,0.686,1
151.2,0,0,0,1,5,1,0,1,0.178,0
219.6,2,0,0,1,0,0,0,2,0.727,0
204.4,1,0,0,4,6,1,1,0,0.936,0
227.4,0,0,1,2,1,1,0,1,0.601,0
29.6,2,0,1,3,7,1,0,0,0.196,0
145.5,0,0,1,1,1,1,0,0,0.68,0
14.6,0,0,0,4,9,0,0,0,0.343,0
172.9,1,0,0,0,3,1,2,0,0.049,0
115.5,1,0,1,1,4,2,1,3,0.302,0
50.6,1,0,0,1,1,2,1,3,0.906,0
36.2,1,0,2,2,2,0,0,0,0.411,0
205.7,3,0,3,3,10,1,1,2,0.865,1
59.7,3,0,1,2,3,1,1,1,0.509,0
